collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,10_my_bin
12855,PaleoDB,"E. Fara","n. gen.",Noterpeton,"n. sp.",bolivianum,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Pucabatis,,hoffstetteri,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Pucapristis,,branisi,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Coelodus,,toncoensis,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Lepisosteus,,sp.,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Gasteroclupea,,branisai,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Rhineastes,,sp.,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Ischyrhiza,,hartenbergeri,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Dasyatis,,branisai,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Dasyatis,,molinoensis,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Dasyatis,,schaefferi,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Latinopollia,,suarezi,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Dagetella,,sudamericana,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Lepidotyle,,enigmatica,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Stephanodus,,minimus,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Phaerodusichthys,,taverni,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Andinichthys,,sp.,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Arioida,informal,"new genus",,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Enchodus,,sp.,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Santosius,,sp.,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Ceratodus,,sp.,,,,,39674,"Cretaceous 8"
12855,PaleoDB,"E. Fara",,Lepidosiren,cf.,paradoxa,,,,,39674,"Cretaceous 8"
12970,Fossilworks,"J. Alroy",,Neodolodus,,colombianus,,Prothoatherium,,colombianus,4293,"Cenozoic 6"
12970,Fossilworks,"J. Alroy",,Pseudoprepotherium,,confusum,,,,,4293,"Cenozoic 6"
12970,Fossilworks,"J. Alroy",,Chelonoidis,,sp.,,Geochelone,,hesterna,4293,"Cenozoic 6"
12971,Fossilworks,"J. Alroy",,Neodolodus,,colombianus,,Prothoatherium,,colombianus,4293,
12971,Fossilworks,"J. Alroy",,Neoreomys,,huilensis,,,,,4293,
12971,Fossilworks,"J. Alroy",,Scleromys,,colombianus,,,,,4293,
12971,Fossilworks,"J. Alroy",,Hondadelphys,,fieldsi,,,,,4293,
12971,Fossilworks,"J. Alroy",,Rhodanodolichotis,,antepridiana,,,,,4293,
12971,Fossilworks,"J. Alroy",,Drytomomys,,aequatorialis,,Olenopsis,,aequatorialis,4293,
12971,Fossilworks,"J. Alroy",,Prodolichotis,,pridiana,,,,,4293,
12971,Fossilworks,"J. Alroy",,Eodolichotis,,maddeni,,,,,4293,
12971,Fossilworks,"J. Alroy",,Scleromys,,schurmanni,,,,,4293,
12971,Fossilworks,"J. Alroy",,Miocochilius,,anomopodus,,,,,4293,
12972,Fossilworks,"J. Alroy",,Neodolodus,,colombianus,,Prothoatherium,,colombianus,4293,
12972,Fossilworks,"J. Alroy","n. gen.",Neoglyptatelus,"n. sp.",originalis,,,,,4293,
12972,Fossilworks,"J. Alroy",,Nanoastegotherium,,prostatum,,,,,4293,
12973,Fossilworks,"J. Alroy",,Prothoatherium,,Colombianus,,,,,4293,
12974,Fossilworks,"J. Alroy",,Neodolodus,,colombianus,,Prothoatherium,,colombianus,4293,
12975,Fossilworks,"J. Alroy",,Neodolodus,,colombianus,,Prothoatherium,,colombianus,4293,
12975,Fossilworks,"J. Alroy",,Anadasypus,,hondanus,,,,,4293,
13079,PaleoDB,"M. Uhen","n. gen.",Ninoziphius,"n. sp.",platyrostris,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Piscolithax,"n. sp.",longirostris,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Pliopontos,"n. sp.",littoralis,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Odobenocetops,"n. sp.",peruvianus,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Carcharodon,,carcharias,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Piscobalaena,"n. sp.",nana,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Hemisyntrachelus,"n. sp.",oligodon,,Tursiops,"n. sp.",oligodon,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Odobenocetops,,leptodon,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Otodus,,megalodon,,Procarcharodon,,megalodon,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Carcharias,aff.,taurus,,Odontaspis,aff.,taurus,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Myliobatis,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",cf.,Sula,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",cf.,Phalacrocorax,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Acrophoca,"n. sp.",longirostris,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Piscophoca,"n. sp.",pacifica,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen","n. gen.",Ramphastosula,"n. sp.",ramirezi,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Acanthina,,obesa,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Acanthina,,triangularis,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Herminespina,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Concholepas,,kieneri,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Anadara,,sp.,,,,,11891,"Cenozoic 6"
13079,PaleoDB,"M. Uhen",,Dosinia,,sp.,,,,,11891,"Cenozoic 6"
