genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Abderites,sp.,28.400,23.030,1,0,NaN
Abertella,complanata,23.030,15.970,3,0,NaN
Abothrodon,pricei,11.608,7.246,1,0,NaN
Abrothrix,illuteus,0.0276,0.01758,1,0,NaN
Abrothrix,magnus,3.600,2.588,1,0,NaN
Acamana,sp.,29.000,21.000,2,1,0.0018
Acanthina,obesa,6.35,5.47,1,0,NaN
Acanthina,triangularis,6.35,5.47,1,0,NaN
Acanthocarpus,obscurus,23.030,15.970,4,0,NaN
Acanthochelys,sp.,13.2,12.9,1,0,NaN
Acanthocybium,sp.,19.27,17.21,1,0,NaN
Acarechimys,minutissimus,13.2,12.9,3,0,NaN
Acarechimys,minutus,13.2,12.9,1,0,NaN
Acarechimys,sp.,17.500,10.000,6,0,NaN
Acesta,excavata,11.608,7.246,1,0,NaN
Acherontisuchus,guajiraensis,61.700,58.700,4,3,0.3087
Acila,sp.,33.900,28.400,1,0,NaN
Acmaea,sp.,55.800,48.600,1,0,NaN
Acrecebus,fraileyi,11.608,7.246,1,0,NaN
Acregoliath,rancii,13.800,11.800,1,0,NaN
Acresuchus,pachytemporalis,11.608,7.246,4,0,NaN
Acrocyon,sp.,15.500,13.800,1,0,NaN
Acrodus,sp.,145.500,99.700,1,0,NaN
Acrophoca,longirostris,11.608,5.47,3,0,NaN
Acrophoca,sp.,7.5,5.332,2,0,NaN
Acrophyseter,deinodon,7.246,5.332,1,1,0.0526
Acrophyseter,robustus,13.650,11.608,1,1,0.5000
Acrophyseter,sp.,13.650,5.332,2,1,0.5000
Acteonina,sp.,23.030,15.970,1,0,NaN
Acyon,myctoderos,13.2,12.9,1,0,NaN
Adamantisaurus,mezzalirai,84.900,66.043,1,0,NaN
Adelomelon,alta,11.608,7.246,1,0,NaN
Adelomelon,brasiliana,0.126,0.012,1,0,NaN
Adinotherium,sp.,17.500,16.300,1,0,NaN
Adrana,agronomica,23.030,15.970,2,0,NaN
Aenigmys,diamantensis,2.588,0.012,1,0,NaN
Aeolosaurus,maximus,84.900,66.043,1,1,1.0000
Aeolosaurus,sp.,70.600,66.043,2,2,1.0000
Aequipecten,paranensis,11.608,7.246,1,0,NaN
Aetobarbakinoides,brasiliensis,235.000,205.600,1,1,0.2500
Aetosauroides,scagliai,235.000,205.600,1,1,0.2500
Africanacetus,gracilis,5.332,3.600,1,1,1.0000
Agalmaceros,blicki,2.588,0.012,4,0,NaN
Agassizia,eugeniae,23.030,15.970,1,0,NaN
Agathistoma,patagonicum,0.126,0.012,1,0,NaN
Ahytherium,aureum,0.781,0.012,2,0,NaN
Ajaja,ajaja,0.012,0.000,2,2,0.0784
Akodon,sp.,0.0276,0.01758,3,0,NaN
Aktiogavialis,caribesi,11.608,7.246,1,0,NaN
Alabina,asperoides,23.030,15.970,1,0,NaN
Albertella,pirabensis,23.030,15.970,1,0,NaN
Albertogaudrya,carahuasensis,48.600,37.200,1,0,NaN
Albula,sp.,23.030,15.970,1,0,NaN
Alcidedorbignya,inopinata,66.043,61.700,2,0,NaN
Alemoatherium,huebneri,235.000,205.600,1,1,0.3333
Aleodon,cromptoni,242.000,221.500,4,3,1.0000
Alitoxodon,sp.,5.332,3.600,1,0,NaN
Allqokirus,australis,66.043,61.700,1,0,NaN
Alopias,superciliosus,20.430,15.970,1,0,NaN
Alopias,vulpinus,20.430,15.970,1,0,NaN
Altanicypris,australis,70.600,66.043,1,1,0.1049
Altitypotherium,chucalensis,17.500,16.300,1,0,NaN
Altitypotherium,paucidens,17.500,16.300,1,0,NaN
Alzadasaurus,tropicus,112.600,99.700,1,1,1.0000
Amahuacatherium,peruvium,10.000,9.000,2,0,NaN
Amantis,sp.,6.35,5.47,1,0,NaN
Amaru,scagliai,48.600,37.200,1,0,NaN
Amauropsis,nativitatis,23.030,15.970,4,0,NaN
Amazonsaurus,maranhensis,125.450,99.700,1,1,1.0000
Amblyochara,begudiana,84.900,66.043,2,0,NaN
Amblyochara,peruviana,84.900,48.600,3,0,NaN
Amblyochara,sp.,70.600,66.043,2,0,NaN
Ammonia,beccarii,15.970,5.332,2,2,0.2210
Ammonia,inflata,15.970,5.332,2,2,0.0437
Ammonia,ketienzensis,15.970,5.332,1,1,0.0164
Ammonia,ketienziensis,15.970,5.332,1,1,0.0061
Ammonia,parkinsoniana,15.970,5.332,2,2,0.1179
Ammonia,sobrina,15.970,5.332,2,2,0.0503
Ammonia,tepida,15.970,5.332,2,2,0.0449
Amotapus,arbolensis,48.600,35.7,4,0,NaN
Amphioplus,venezuelanus,23.030,5.332,1,0,NaN
Amphisbaena,braestrupi,2.588,0.012,1,0,NaN
Amphisbaena,laurenti,2.588,0.012,1,0,NaN
Amphisbaena,ridleyi,0.012,0.000,1,0,NaN
Ampullina,paracasina,48.600,37.200,1,0,NaN
Amusium,darwinianum,11.608,7.246,1,0,NaN
Amusium,papyraceum,23.030,15.970,2,0,NaN
Anachlysictis,gracilis,16.300,15.500,1,0,NaN
Anadara,bonplandiana,11.608,7.246,1,0,NaN
Anadara,brasiliana,23.030,15.970,5,0,NaN
Anadara,crandalli,23.030,15.970,1,0,NaN
Anadara,egleri,23.030,15.970,2,0,NaN
Anadara,melloi,23.030,15.970,4,0,NaN
Anadara,paraensis,23.030,15.970,1,0,NaN
Anadara,sp.,6.35,5.47,1,0,NaN
Anadasypus,aequatorianus,9.0,9.0,1,0,NaN
Anadasypus,hondanus,16.300,15.500,5,3,0.7937
Anadasypus,sp.,11.608,7.246,1,0,NaN
Anas,bahamensis,0.02798,0.0255,2,1,0.0191
Anas,clypeata,0.02798,0.0255,1,1,0.0255
Anas,discors,0.02798,0.0255,1,1,0.0446
Anas,sp.,0.126,0.012,1,0,NaN
Anayatherium,ekacoa,29.000,21.000,1,1,0.0018
Anayatherium,ekecoa,29.000,21.000,1,0,NaN
Anayatherium,fortis,29.000,21.000,2,1,0.0018
Ancilla,branneri,23.030,15.970,1,0,NaN
Ancilla,mutila,23.030,15.970,2,0,NaN
Anconia,elenensis,48.600,37.200,1,0,NaN
Andicula,olssoni,48.600,37.200,1,0,NaN
Andinichthys,sp.,70.600,66.043,1,0,NaN
Andinodelphys,cochabambensis,66.043,61.700,1,0,NaN
Andinodus,boliviensis,66.043,61.700,1,0,NaN
Andinogale,sallensis,29.000,21.000,1,1,0.0037
Andinomys,edax,0.0276,0.01758,1,0,NaN
Andinomys,edea,2.588,0.781,1,0,NaN
Angatubichthys,mendesi,268.000,254.000,1,0,NaN
Angaturama,limai,112.600,99.700,1,1,1.0000
Anhanguera,araripensis,112.600,109.000,2,2,0.0426
Anhanguera,blittersdorffi,112.600,109.000,1,1,0.0213
Anhanguera,ligabuei,112.600,109.000,1,1,0.0213
Anhanguera,piscator,112.600,109.000,1,1,0.0417
Anhanguera,robustus,112.600,109.000,2,2,0.0298
Anhanguera,santanae,112.600,109.000,2,2,0.1031
Anhanguera,sp.,112.600,109.000,1,1,0.0213
Anhanguera,spielbergi,112.600,109.000,2,2,0.0213
Anhinga,fraileyi,11.608,7.246,1,0,NaN
Anhinga,grandis,11.608,7.246,1,0,NaN
Anhinga,minuta,11.608,7.246,1,0,NaN
Anisodontherium,sp.,10.000,9.000,1,0,NaN
Anisopetalus,oliveirai,23.030,15.970,1,0,NaN
Anodontites,sp.,70.600,66.043,1,0,NaN
Anomalinoides,salinasensis,15.970,5.332,1,1,0.0721
Anomalinoides,sp.,15.970,5.332,1,1,0.0066
Anomia,ephippium,23.030,15.970,3,0,NaN
Anomia,imbricata,23.030,15.970,1,0,NaN
Anomia,pileata,11.608,7.246,1,0,NaN
Anomia,simplex,23.030,15.970,1,0,NaN
Anotodus,agassizii,20.430,15.970,1,0,NaN
Anous,sp.,0.012,0.000,1,1,0.0670
Anous,stolidus,0.012,0.000,1,1,0.0348
Anoxypristis,sp.,20.430,15.970,1,0,NaN
Antarctilamna,seriponensis,416.000,391.900,1,0,NaN
Antarctosaurus,brasiliensis,84.900,66.043,1,0,NaN
Antawallathentes,illimani,28.400,23.030,1,0,NaN
Antawallathentes,quimsacruza,29.000,21.000,1,0,NaN
Anthracosuchus,balrogus,60,58,1,0,NaN
Anticorbula,sp.,15.970,5.332,1,0,NaN
Antifer,crassus,3.600,2.588,1,0,NaN
Antifer,sp.,0.126,0.012,2,0,NaN
Antifer,ultra,0.781,0.012,1,0,NaN
Antigona,proserpinae,23.030,15.970,1,0,NaN
Antillophos,elegans,23.030,15.970,1,0,NaN
Antofagastia,sp.,37.200,33.900,1,0,NaN
Antofagastia,turneri,37.200,33.900,1,1,0.0250
Aotus,dindensis,16.300,15.500,1,1,1.0000
Apeiba,pulchra,23.030,15.970,1,0,NaN
Aphrocallistes,estevoui,23.030,15.970,4,0,NaN
Aphrocallistes,lobata,23.030,15.970,4,0,NaN
Aplestosuchus,sordidus,84.900,66.043,1,1,1.0000
Aplodinotus,hoffmani,23.030,15.970,1,0,NaN
Aplodinotus,longecaudatus,23.030,15.970,1,0,NaN
Apocopodon,sericeus,99.700,66.043,1,0,NaN
Apodops,pricei,58.700,48.600,1,0,NaN
Apogon,sp.,23.030,15.970,1,0,NaN
Aptychus,sp.,164.700,150.800,3,0,NaN
Arachana,nigra,235.000,201.600,1,1,0.3333
Araloselachus,cuspidata,3.600,2.588,1,0,NaN
Aramides,cajanea,0.02798,0.0255,1,1,0.0064
Aramus,guarauna,0.02798,0.0255,1,1,0.0127
Araripedactylus,dehmi,112.600,109.000,1,1,0.0213
Araripelepidotes,temnurus,122.460,109.000,1,0,NaN
Araripemys,barretoi,125.450,109.000,5,3,0.6300
Araripemys,sp.,125.450,112.600,1,1,1.0000
Araripesaurus,castilhoi,112.600,109.000,1,1,0.0213
Araripesuchus,gomesii,112.600,109.000,2,1,0.0213
Araripesuchus,sp.,125.450,112.600,1,0,NaN
Arariphrynus,placidoi,122.460,112.600,1,0,NaN
Araripichthys,axelrodi,125.450,112.600,1,0,NaN
Araripichthys,sp.,125.450,112.600,1,0,NaN
Araripichtys,sp.,122.460,109.000,1,0,NaN
Aratinga,roosevelti,0.126,0.012,1,0,NaN
Aratinga,sp.,0.126,0.012,1,0,NaN
Arca,imbricata,23.030,15.970,3,0,NaN
