"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&cc=SOA"
"Access Time","Tue 2020-10-20 21:51:40 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","cc","SOA"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","6"
"Records Found","10631"
"Records Returned","10631"
"Records:"
"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"10894","spm","","151690","0","13513","CEGH-UNC 17364","","","right?","valve","","1","picture","5","","Cuyopsis symmetricus","species","170713","","Cuyopsis symmetricus","species","170713","460.9","449.5","6121"
"10895","spm","","151690","0","13513","CEGH-UNC 16720","","","right?","valve","","1","table","","","Cuyopsis symmetricus","species","170713","","Cuyopsis symmetricus","species","170713","460.9","449.5","6121"
"10896","spm","","151690","0","13513","CEGH-UNC 16719","holotype","","left","valve","","1","table","","","Cuyopsis symmetricus","species","170713","","Cuyopsis symmetricus","species","170713","460.9","449.5","6121"
"10897","spm","","151690","0","13513","CEGH-UNC 16721","","","","valve","","1","table","","","Cuyopsis symmetricus","species","170713","","Cuyopsis symmetricus","species","170713","460.9","449.5","6121"
"10898","spm","","151690","0","13513","CEHG-UNC 16722","","","","valve","","1","table","","","Cuyopsis symmetricus","species","170713","","Cuyopsis symmetricus","species","170713","460.9","449.5","6121"
"10899","spm","","151689","0","13513","CEGH-UNC 16170b","","","left","valve","","1","picture","7","","Praenucula","genus","16106","","Praenucula","genus","16106","460.9","449.5","6121"
"10900","spm","","151691","0","13513","CEGH-UNC 16154","","","left","valve","","1","picture","9","","Villicumia canteraensis","species","170717","","Villicumia canteraensis","species","170717","460.9","449.5","6121"
"10901","spm","","151691","0","13513","CEGH-UNC 16152a","holotype","","left","valve","","1","table","","","Villicumia canteraensis","species","170717","","Villicumia canteraensis","species","170717","460.9","449.5","6121"
"10902","spm","","151691","0","13513","CEGH-UNC 17361","","","left","valve","","1","picture","8","","Villicumia canteraensis","species","170717","","Villicumia canteraensis","species","170717","460.9","449.5","6121"
"10903","spm","","151691","0","13513","CEGH-UNC 16153","","","left","valve","","1","table","","","Villicumia canteraensis","species","170717","","Villicumia canteraensis","species","170717","460.9","449.5","6121"
"10904","spm","","151691","0","13513","CEGH-UNC 16155","","","","valve","","1","table","","","Villicumia canteraensis","species","170717","","Villicumia canteraensis","species","170717","460.9","449.5","6121"
"10905","spm","","151691","0","13513","CEGH-UNC 16156","","","","valve","","1","table","","","Villicumia canteraensis","species","170717","","Villicumia canteraensis","species","170717","460.9","449.5","6121"
"10906","spm","","151692","0","13513","CEGH-UNC 16167b","","","right","valve","","1","table","","","Trigonoconcha acuta","species","170719","","Trigonoconcha acuta","species","170719","460.9","449.5","6121"
"10907","spm","","151692","0","13513","CEGH-UNC 16163","","","left","valve","","1","table","","","Trigonoconcha acuta","species","170719","","Trigonoconcha acuta","species","170719","460.9","449.5","6121"
"10908","spm","","151692","0","13513","CEGH-UNC 16160","","","right","valve","","1","table","","","Trigonoconcha acuta","species","170719","","Trigonoconcha acuta","species","170719","460.9","449.5","6121"
"10909","spm","","151692","0","13513","CEGH-UNC 16715","","","right","valve","","1","table","","","Trigonoconcha acuta","species","170719","","Trigonoconcha acuta","species","170719","460.9","449.5","6121"
"10910","spm","","151692","0","13513","CEGH-UNC 16158","holotype","","left","valve","","1","table","","","Trigonoconcha acuta","species","170719","","Trigonoconcha acuta","species","170719","460.9","449.5","6121"
"10911","spm","","151692","0","13513","CEGH-UNC 16162","","","","valve","","1","table","","","Trigonoconcha acuta","species","170719","","Trigonoconcha acuta","species","170719","460.9","449.5","6121"
"10912","spm","","151693","0","13513","CEGH-UNC 16168","holotype","","right","valve","","1","table","","","Concavodonta ovalis","species","170710","","Concavodonta ovalis","species","170710","460.9","449.5","6121"
"10913","spm","","151693","0","13513","CEGH-UNC 17351","","","left","valve","","1","table","","","Concavodonta ovalis","species","170710","","Concavodonta ovalis","species","170710","460.9","449.5","6121"
"10914","spm","","151693","0","13513","CEGH-UNC 17356","","","right","valve","","1","table","","","Concavodonta ovalis","species","170710","","Concavodonta ovalis","species","170710","460.9","449.5","6121"
"10915","spm","","151693","0","13513","CEGH-UNC 16169","","","right","valve","","1","picture","9","","Concavodonta ovalis","species","170710","","Concavodonta ovalis","species","170710","460.9","449.5","6121"
"10916","spm","","151694","0","13513","CEGH-UNC 16714b","","","left","valve","","1","picture","6.5","","Hemiconcavodonta minuta","species","170715","","Hemiconcavodonta minuta","species","170715","460.9","449.5","6121"
"10917","spm","","151694","0","13513","CEGH-UNC 17363","","","right","valve","","1","table","","","Hemiconcavodonta minuta","species","170715","","Hemiconcavodonta minuta","species","170715","460.9","449.5","6121"
"10918","spm","","151694","0","13513","CEGH-UNC 16172a","","","right","valve","","1","table","","","Hemiconcavodonta minuta","species","170715","","Hemiconcavodonta minuta","species","170715","460.9","449.5","6121"
"10919","spm","","151694","0","13513","CEGH-UNC 16152b","","","right","valve","","1","table","","","Hemiconcavodonta minuta","species","170715","","Hemiconcavodonta minuta","species","170715","460.9","449.5","6121"
"10920","spm","","151694","0","13513","CEGH-UNC 16171","holotype","","left","valve","","1","table","","","Hemiconcavodonta minuta","species","170715","","Hemiconcavodonta minuta","species","170715","460.9","449.5","6121"
"10921","spm","","151695","0","13513","CEGH-UNC 16172b","","","right","valve","","1","picture","10","","Hemiconcavodonta","genus","170714","","Hemiconcavodonta","genus","170714","460.9","449.5","6121"
"10922","spm","","151696","0","13513","CEGH-UNC 16164a","","","left","valve","","1","table","","","Emiliania cuerdai","species","170709","recombined as","Emiliodonta cuerdai","species","170709","460.9","449.5","6121"
"10923","spm","","151696","0","13513","CEGH-UNC 17354","","","left","valve","","1","picture","8","","Emiliania cuerdai","species","170709","recombined as","Emiliodonta cuerdai","species","170709","460.9","449.5","6121"
"10924","spm","","151696","0","13513","CEGH-UNC 17361","","","left","valve","","1","picture","8","","Emiliania cuerdai","species","170709","recombined as","Emiliodonta cuerdai","species","170709","460.9","449.5","6121"
"10925","spm","","151696","0","13513","CEGH-UNC 16161b","","","right","valve","","1","table","","","Emiliania cuerdai","species","170709","recombined as","Emiliodonta cuerdai","species","170709","460.9","449.5","6121"
"10926","spm","","151696","0","13513","CEGH-UNC 16165","","","","valve","","1","table","","","Emiliania cuerdai","species","170709","recombined as","Emiliodonta cuerdai","species","170709","460.9","449.5","6121"
"10927","spm","","151696","0","13513","CEGH-UNC 16170a","","","","valve","","1","table","","","Emiliania cuerdai","species","170709","recombined as","Emiliodonta cuerdai","species","170709","460.9","449.5","6121"
"10928","spm","","151696","0","13513","CEGH-UNC 16767b","","","","valve","","1","table","","","Emiliania cuerdai","species","170709","recombined as","Emiliodonta cuerdai","species","170709","460.9","449.5","6121"
"10929","spm","","151697","0","13513","CEGH-UNC 16714a","holotype","","right","valve","","1","table","","","Concavoleda braulense","species","170721","","Concavoleda braulense","species","170721","460.9","449.5","6121"
"10930","spm","","151697","0","13513","CEGH-UNC 16780","","","right","valve","","1","table","","","Concavoleda braulense","species","170721","","Concavoleda braulense","species","170721","460.9","449.5","6121"
"10931","spm","","161459","0","14222","CEGH-UNC 15015","","","","valve","","1","table","","","Suria","species","16132","species not entered","Suria","genus","16132","478.6","466","6295"
"10932","spm","","161459","0","14222","CEGH-UNC 15016","","","","valve","","1","table","","","Suria","species","16132","species not entered","Suria","genus","16132","478.6","466","6295"
"10933","spm","","161459","0","14222","CEGH-UNC 15017","","","","valve","","1","table","","","Suria","species","16132","species not entered","Suria","genus","16132","478.6","466","6295"
"10934","spm","","161463","0","14223","CEGH-UNC 15012","","","","valve","","1","table","","","Suria","species","16132","species not entered","Suria","genus","16132","478.6","466","6295"
"11510","spm","","517993","0","52554","","","","","","","1","text","","","Nucula catalina","species","66921","","Nucula catalina","species","66921","41.3","38","14126"
"11511","spm","","517993","0","52554","","","","","","","1","text","","","Nucula catalina","species","66921","","Nucula catalina","species","66921","41.3","38","14126"
"11512","spm","","517996","0","52554","","","","","","","1","text","","","Leda barranca","species","66922","obsolete variant of","Leda barranca","species","66922","41.3","38","14126"
"11513","spm","","517996","0","52554","","","","","","","1","text","","","Leda barranca","species","66922","obsolete variant of","Leda barranca","species","66922","41.3","38","14126"
"11572","spm","","620043","0","66753","ANSP 14932","holotype","","","","","1","text","","","Tellina venezuelensis","species","87636","","Tellina venezuelensis","species","87636","0.126","0.0117","19016"
"11573","spm","","620057","0","66753","ANSP 14931","holotype","","","","","1","text","","","Melongena margaritana","species","87635","subjective synonym of","Melongena melongena","species","111213","0.126","0.0117","19016"
"11574","spm","","620057","0","66753","ANSP 14792","paratype","","","","","1","text","","","Melongena margaritana","species","87635","subjective synonym of","Melongena melongena","species","111213","0.126","0.0117","19016"
